name,number,game_id,place,date
"Квиз, плиз! ",#877,62855,Chesterfield Bar,"8 сентября, Пятница"
"Квиз, плиз! [стрим] ",#364,63246,"Везде, где есть интернет","8 сентября, Пятница"
[Back to school] ,#1,62847,CLUB LIBERTY BAR,"7 сентября, Четверг"
[путешествия] ,#6,62849,"Дорогая, я перезвоню","7 сентября, Четверг"
"Квиз, плиз! ",#875,62846,Lookin Rooms (Диско 90-х),"7 сентября, Четверг"
"Квиз, плиз! ",#876,62840,Резиденция,"7 сентября, Четверг"
ОТКРЫТИЕ ОСЕННЕГО СЕЗОНА [финал] ,,62854,Chesterfield Bar,"7 сентября, Четверг"
[новички] ,#875,62839,Резиденция,"6 сентября, Среда"
[про историю] ,#3,62844,Old School Pub,"6 сентября, Среда"
"Квиз, плиз! ",#876,62853,Chesterfield Bar,"6 сентября, Среда"
[кино и музыка] ,#140,62838,Резиденция,"5 сентября, Вторник"
"Квиз, плиз! ",#875,62852,Chesterfield Bar,"5 сентября, Вторник"
[Лихие 90-е] ,#1,62685,Chesterfield Bar,"4 сентября, Понедельник"
"Квиз, плиз! ",#875,62837,Резиденция,"4 сентября, Понедельник"
Music party [стрим] ,#6,62836,"Везде, где есть интернет","3 сентября, Воскресенье"
"Квиз, плиз! ",#874,62539,Chesterfield Bar,"3 сентября, Воскресенье"
[про кино] 2000-х ,#2,62526,Резиденция,"3 сентября, Воскресенье"
[кино и музыка] ,#140,62537,Chesterfield Bar,"3 сентября, Воскресенье"
"Квиз, плиз! ",#874,62532,Chesterfield Bar,"2 сентября, Суббота"
"Квиз, плиз! [стрим] ",#363,62835,"Везде, где есть интернет","2 сентября, Суббота"
"Квиз, плиз! ",#873,62523,Резиденция,"2 сентября, Суббота"
"Квиз, плиз!.jpeg ",#4,62547,"Дорогая, я перезвоню","2 сентября, Суббота"
[Back to school] ,#1,62534,Chesterfield Bar,"2 сентября, Суббота"
[новички] ,#873,62553,Old School Pub,"2 сентября, Суббота"
[Back to school] ,#1,62550,CLUB LIBERTY BAR,"1 сентября, Пятница"
[про кино] 2000-х ,#2,62521,Резиденция,"1 сентября, Пятница"
"Квиз, плиз! ",#873,62552,Известия Hall,"1 сентября, Пятница"
"Квиз, плиз! ",#874,62535,Chesterfield Bar,"1 сентября, Пятница"
"Квиз, плиз! [стрим] ",#362,62834,"Везде, где есть интернет","1 сентября, Пятница"
[кино и музыка] ,#140,62551,Известия Hall,"31 августа, Четверг"
[новички] ,#872,62520,Резиденция,"31 августа, Четверг"
"Квиз, плиз! ",#872,62549,CLUB LIBERTY BAR,"31 августа, Четверг"
"Квиз, плиз! ",#874,62530,Chesterfield Bar,"31 августа, Четверг"
"Квиз, плиз!.jpeg ",#4,62545,"Дорогая, я перезвоню","31 августа, Четверг"
[путешествия] ,#6,62540,Old School Pub,"30 августа, Среда"
"Квиз, плиз! ",#872,62543,Papa' S Bar & Grill,"30 августа, Среда"
ОТКРЫТИЕ ОСЕННЕГО СЕЗОНА [полуфинал] ,#873,62561,Chesterfield Bar,"30 августа, Среда"
ОТКРЫТИЕ ОСЕННЕГО СЕЗОНА [полуфинал] ,#873,62562,Резиденция,"30 августа, Среда"
"Квиз, плиз! ",#872,62528,Chesterfield Bar,"29 августа, Вторник"
Кино и музыка [новички] ,#139,62516,Резиденция,"29 августа, Вторник"
[Back to school] ,#1,62330,Chesterfield Bar,"28 августа, Понедельник"
"Квиз, плиз! ",#872,62515,Резиденция,"28 августа, Понедельник"
"Квиз, плиз! ",#871,62213,Chesterfield Bar,"27 августа, Воскресенье"
Кино и музыка [стрим] ,#86,62557,"Везде, где есть интернет","27 августа, Воскресенье"
"Квиз, плиз!.jpeg ",#4,62198,Резиденция,"27 августа, Воскресенье"
[кино и музыка] ,#139,62212,Chesterfield Bar,"27 августа, Воскресенье"
[afterparty] ,#3,62032,Резиденция,"26 августа, Суббота"
"Квиз, плиз! ",#871,62211,Chesterfield Bar,"26 августа, Суббота"
"Квиз, плиз! [стрим] ",#361,62556,"Везде, где есть интернет","26 августа, Суббота"
[путешествия] ,#6,62201,Bla Bla Bar,"26 августа, Суббота"
"Квиз, плиз! ",#870,62197,Резиденция,"26 августа, Суббота"
[новички] ,#870,62210,Chesterfield Bar,"26 августа, Суббота"
[кино и музыка] ,#139,62205,CLUB LIBERTY BAR,"25 августа, Пятница"
"Квиз, плиз! ",#871,62209,Chesterfield Bar,"25 августа, Пятница"
"Квиз, плиз! ",#871,62196,Резиденция,"25 августа, Пятница"
"Квиз, плиз! [стрим] ",#360,62555,"Везде, где есть интернет","25 августа, Пятница"
"Квиз, плиз! ",#870,62202,Papa' S Bar & Grill,"25 августа, Пятница"
[про кино] 2000-х ,#2,62195,Резиденция,"24 августа, Четверг"
[сериалы] ,#7,62200,Bla Bla Bar,"24 августа, Четверг"
"Квиз, плиз! ",#869,62203,"Дорогая, я перезвоню","24 августа, Четверг"
"Квиз, плиз! ",#870,62208,Chesterfield Bar,"24 августа, Четверг"
"Квиз, плиз! ",#870,62204,CLUB LIBERTY BAR,"24 августа, Четверг"
[новички] ,#869,62194,Резиденция,"23 августа, Среда"
"Квиз, плиз! ",#869,62207,Chesterfield Bar,"23 августа, Среда"
"Квиз, плиз!.jpeg ",#4,62199,Old School Pub,"23 августа, Среда"
[кино и музыка] ,#139,62193,Резиденция,"22 августа, Вторник"
"Квиз, плиз! ",#869,62206,Chesterfield Bar,"22 августа, Вторник"
[про кино] 2000-х ,#2,61683,Chesterfield Bar,"21 августа, Понедельник"
"Квиз, плиз! ",#869,62192,Резиденция,"21 августа, Понедельник"
Music party [стрим] 90-х ,#2,62216,"Везде, где есть интернет","20 августа, Воскресенье"
"Квиз, плиз! ",#868,61680,Chesterfield Bar,"20 августа, Воскресенье"
"Квиз, плиз!.jpeg ",#4,61667,Резиденция,"20 августа, Воскресенье"
[кино и музыка] ,#139,61682,Chesterfield Bar,"20 августа, Воскресенье"
"Квиз, плиз! ",#868,61679,Chesterfield Bar,"19 августа, Суббота"
"Квиз, плиз! [стрим] ",#359,62215,"Везде, где есть интернет","19 августа, Суббота"
[путешествия] ,#6,61858,"Дорогая, я перезвоню","19 августа, Суббота"
"Квиз, плиз! ",#867,61666,Резиденция,"19 августа, Суббота"
[новички] ,#867,61681,Chesterfield Bar,"19 августа, Суббота"
[кино и музыка] ,#139,61665,Резиденция,"18 августа, Пятница"
"Квиз, плиз! ",#868,61678,Chesterfield Bar,"18 августа, Пятница"
"Квиз, плиз! ",#868,61672,CLUB LIBERTY BAR,"18 августа, Пятница"
"Квиз, плиз! [стрим] ",#358,62214,"Везде, где есть интернет","18 августа, Пятница"
"Квиз, плиз!.jpeg ",#4,61673,Известия Hall,"18 августа, Пятница"
"Квиз, плиз! ",#867,61674,Papa' S Bar & Grill,"18 августа, Пятница"
[кино и музыка] ,#139,61664,Резиденция,"17 августа, Четверг"
[путешествия] ,#6,61669,MT Music Bar,"17 августа, Четверг"
"Квиз, плиз! ",#866,61856,"Дорогая, я перезвоню","17 августа, Четверг"
"Квиз, плиз! ",#867,61677,Chesterfield Bar,"17 августа, Четверг"
"Квиз, плиз! ",#867,61671,CLUB LIBERTY BAR,"17 августа, Четверг"
[новички] ,#866,61663,Резиденция,"16 августа, Среда"
